char,dialog,i,a,g,r,d,o,l,h,c
SAM,"['gone', 'mr', 'frodo', 'light', 'pass', 'away', 'toward', 'north', 'someth', 'drawn', 'gaze']",,,,,,,,,
MERRY,['outsid'],,,,,,,,,
FRODO,"['head', 'pranc', 'poni']",,,,,,,,,
GOLLUM,['us'],,,,,,,,,
TREEBEARD,"['alway', 'smoke', 'rise', 'lsengard', 'day']",,,,,,,,,
MERRY,['pippin'],,,,,,,,,
EOWYN,['gim'],,,,,,,,,
PIPPIN,['ahaha'],,,,,,,,,
SOLDIER,"['captain', 'faramir', 'found', 'third', 'one']",,,,,,,,,
PIPPIN,[],,,,,,,,,
FRODO,[],,,,,,,,,
GOLLUM,"['decent', 'place']",,,,,,,,,
SAM,"['mr', 'frodo', 'get', 'back', 'touch']",,,,,,,,,
BOROMIR,['father'],,,,,,,,,
SAM,"['hate', 'place', 'quiet', 'sight', 'soundof', 'bird', 'two', 'day']",,,,,,,,,
BOROMIR,['sorri'],,,,,,,,,
GOLLUM,['say'],,,,,,,,,
PIPPIN,"['far', 'mina', 'tirith']",,,,,,,,,
FRODO,"['proud', 'cheer', 'gaffer']",,,,,,,,,
ARAGORN,"['sauron', 'forgotten', 'sword', 'elendil']",,,,,,,,,
SAM,"['side', 'mr', 'frodo']",,,,,,,,,
PIPPIN,"['cabbag', 'bag', 'potato', 'lift', 'last', 'week', 'mushroom', 'week']",,,,,,,,,
THEODEN,"['leechcraft', 'would', 'crawl', 'four', 'like', 'beast']",,,,,,,,,
GOTHMOG,"['fear', 'citi', 'rank', 'ha', 'ha', 'ha', 'ha', 'let', 'us', 'eas', 'pain', 'releas', 'prison']",,,,,,,,,
PIPPIN,[],,,,,,,,,
FRODO,['late'],,,,,,,,,
SAM,"['care', 'mr', 'frodo', 'wait', 'around', 'kill', 'us']",,,,,,,,,
FARAMIR,"['stay', 'keep', 'sight', 'take', 'cover']",,,,,,,,,
GOLLUM,"['hard', 'feel', 'gollum', 'gollum', 'yes', 'master', 'nice', 'hobbit']",,,,,,,,,
BOROMIR,"['rememb', 'today', 'littl', 'brother']",,,,,,,,,
MERRY,['hmmmhmmm'],,,,,,,,,
THEODEN,"['seen', 'niec', 'smilefor', 'long', 'time', 'girl', 'broughther', 'father', 'back', 'dead', 'cut', 'orc', 'watch', 'mothersuccumb', 'grief']",,,,,,,,,
SOLDIER,['take'],,,,,,,,,
GOLLUM,"['go', 'come', 'alway', 'hungri', 'alway', 'need', 'feed', 'must', 'eat', 'get', 'filthi', 'orcs']",,,,,,,,,
SAM,"['mr', 'frodo']",,,,,,,,,
LEGOLAS,"['feel', 'someth', 'slight', 'tingl', 'finger', 'think', 'affect']",,,,,,,,,
GIMLI,"['three', 'day', 'night', 'pursuit', 'food', 'rest', 'sign', 'quarrybut', 'bare', 'rock', 'tell']",,,,,,,,,
ORC,['yes'],,,,,,,,,
GANDALF,"['yes', 'gim', 'master', 'cannot', 'find', 'secret', 'forgotten']",,,,,,,,,
GIMLI,"['road', 'lead']",,,,,,,,,
SAM,['hopeless'],,,,,,,,,
FRODO,[],,,,,,,,,
GANDALF,"['last', 'threw', 'downmi', 'enemi', 'smote', 'ruinupon', 'mountainsid']",,,,,,,,,
GOLLUM,['master'],,,,,,,,,
GOLLUM,"['riski', 'riski', 'thiev', 'stole', 'us', 'kill', 'kill', 'kill']",,,,,,,,,
FRODO,"['know', 'noth', 'sorri', 'sam', 'knowwhi', 'said']",,,,,,,,,
GIMLI,"['noth', 'whisp', 'cloud']",,,,,,,,,
STRIDER,[],,,,,,,,,
SOLDIER,"['sir', 'king', 'theoden', 'await', 'lord']",,,,,,,,,
EOWYN,"['woman', 'gave', 'jewel']",,,,,,,,,
GRIMA,"['fire', 'undo', 'stone']",,,,,,,,,
PIPPIN,"['swear', 'fealti', 'servic', 'gondor', 'peac', 'war', 'live', 'die', 'hour', 'henceforth', 'lord', 'releas', 'death', 'take']",,,,,,,,,
THEODEN,"['fortress', 'taken']",,,,,,,,,
ARAGORN,['pendraith'],,,,,,,,,
ELROND,"['futur', 'almost', 'gone']",,,,,,,,,
GOLLUM,"['follow', 'light']",,,,,,,,,
SOLDIER,['lord'],,,,,,,,,
LEGOLAS,"['feel', 'friend', 'elv', 'began', 'wake', 'treesteach', 'speak']",,,,,,,,,
FRODO,"['roast', 'chicken']",,,,,,,,,
FRODO,"['gone', 'done']",,,,,,,,,
SARUMAN,"['take', 'back', 'land', 'stole', 'burn', 'everi', 'villag']",,,,,,,,,
FRODO,"['hit', 'hit', 'sam', 'start', 'fight']",,,,,,,,,
MERRY,"['frodo', 'frodo']",,,,,,,,,
DEAGOL,['arrghh'],,,,,,,,,
LEGOLAS,"['run', 'whipsof', 'master', 'behind']",,,,,,,,,
FARAMIR,"['take', 'father', 'tell', 'faramir', 'send', 'mighti', 'gift', 'weapon', 'chang', 'fortun', 'war']",,,,,,,,,
ARWEN,"['renech', 'lu', 'erui', 'govannen']",,,,,,,,,
EOWYN,['doubt'],,,,,,,,,
ELROND,"['come', 'behalf', 'one', 'love', 'arwen', 'die', 'long', 'surviv', 'evil', 'spread', 'mordor', 'light', 'evenstar', 'fail', 'sauron', 'power', 'grow', 'strength', 'wane', 'arwen', 'life', 'tie', 'fate', 'ring', 'shadow', 'upon', 'us', 'aragorn', 'end', 'come']",,,,,,,,,
SAM,"['hey', 'come', 'back', 'come', 'back', 'tell', 'run', 'old', 'villain', 'much', 'promis']",,,,,,,,,
ARWEN,"['gift', 'keep']",,,,,,,,,
MERRY,['battl'],,,,,,,,,
GOTHMOG,"['get', 'back', 'smash']",,,,,,,,,
GOLLUM,"['cold', 'heart', 'hand', 'bonecold', 'travel', 'far', 'home']",,,,,,,,,
SOLDIER,"['come', 'soldier', 'move']",,,,,,,,,
SAM,"['right', 'exhaust', 'gollum', 'place', 'thing', 'around', 'neck', 'could', 'help', 'bit', 'could', 'carri', 'carri', 'could', 'carri', 'could', 'carri', 'share', 'load', 'share', 'load', 'share', 'load']",,,,,,,,,
THEODEN,"['three', 'day', 'gallop', 'mina', 'tirith', 'none', 'rider', 'bear', 'burdon']",,,,,,,,,
GOLLUM,"['lost', 'precious', 'lost']",,,,,,,,,
MERRY,"['pippin', 'let', 'go']",,,,,,,,,
GOLLUM,"['naughti', 'littl', 'fli', 'cri', 'caught', 'web', 'soon', 'eaten']",,,,,,,,,
MORWEN,"['listen', 'must', 'ride', 'edorasand', 'rais', 'alarm', 'understand']",,,,,,,,,
ARWEN,"['reforg', 'sword', 'ada']",,,,,,,,,
GANDALF,"['let', 'ringbear', 'decid']",,,,,,,,,
FRODO ,['gandalf'],,,,,,,,,
ARAGORN,['haldir'],,,,,,,,,
ARWEN,"['tell', 'seen']",,,,,,,,,
DENETHOR,"['first', 'command', 'escap', 'son', 'mighti', 'man']",,,,,,,,,
THEODEN,"['forth', 'eorlinga']",,,,,,,,,
GOLLUM,"['sneak', 'sneak', 'fat', 'hobbit', 'alway', 'polit', 'smeagol', 'show', 'secret', 'way', 'nobodi', 'els', 'could', 'find', 'say', 'sneak', 'sneak', 'nice', 'friend', 'oh', 'yes', 'precious', 'nice', 'nice']",,,,,,,,,
THEODEN,['say'],,,,,,,,,
GOLLUM,"['swamp', 'yes', 'yes', 'come', 'master', 'take', 'youon', 'safe', 'path', 'mist', 'come', 'hobbit', 'come', 'go', 'quick', 'found', 'way', 'marsh', 'orc', 'use', 'orc', 'know', 'go', 'around', 'mile', 'mile', 'come', 'quick', 'soft', 'quick', 'shadow', 'must']",,,,,,,,,
FRODO,"['smeagol', 'must', 'trust', 'master', 'follow', 'come', 'come', 'come', 'smeagol', 'nice', 'smeagol', 'come']",,,,,,,,,
GIMLI,"['give', 'name', 'hors', 'masterand', 'shall', 'give', 'mine']",,,,,,,,,
FRODO,"['sorri', 'sam', 'sorri']",,,,,,,,,
GOLLUM,['ech'],,,,,,,,,
SAM,"['black', 'rider']",,,,,,,,,
ARAGORN,"['must', 'quick']",,,,,,,,,
HAMA,['staff'],,,,,,,,,
THEODEN,"['rider', 'snowbourn']",,,,,,,,,
FRODO,['sam'],,,,,,,,,
ELROND,"['stay', 'belong', 'peopl']",,,,,,,,,
THEODEN,"['last', 'look', 'theoden', 'aragorn', 'king', 'rohan']",,,,,,,,,
FARAMIR,"['take', 'cover', 'nazgul', 'fall', 'back', 'fall', 'back', 'mina', 'tirith']",,,,,,,,,
PIPPIN,"['gandalf', 'forgiv']",,,,,,,,,
GOLLUM,"['forgot', 'tast', 'bread', 'sound', 'tree', 'soft', 'wind', 'even', 'forgot', 'name']",,,,,,,,,
SAM,"['frodo', 'come']",,,,,,,,,
ARAGORN,['causeway'],,,,,,,,,
EOWYN,"['honour', 'men']",,,,,,,,,
PIPPIN,"['let', 'get', 'anoth', 'one']",,,,,,,,,
GANDALF,"['tower', 'aim', 'troll', 'kill', 'troll']",,,,,,,,,
GANDALF,"['finger', 'would', 'rememb', 'old', 'strength', 'better', 'grasp', 'sword']",,,,,,,,,
GIMLI,"['run', 'way', 'noth', 'leav', 'poor', 'hobbit', 'horrid', 'dark', 'dank', 'tree', 'infest', 'mean', 'charm', 'quit', 'charm', 'forest']",,,,,,,,,
PIPPIN,['breakfast'],,,,,,,,,
GOTHMOG,['wizard'],,,,,,,,,
MERRY,['quick'],,,,,,,,,
ARAGORN,"['murder', 'traitor', 'would', 'call', 'upon', 'fight', 'believ', 'noth', 'answer', 'one']",,,,,,,,,
SHAGRAT,"['gonna', 'bleed', 'like', 'stuck', 'pig']",,,,,,,,,
ARMY,['death'],,,,,,,,,
FRODO,"['bound', 'errand', 'secreci', 'claim', 'oppos', 'enemywould', 'well', 'hinder', 'us']",,,,,,,,,
SAM,"['tri', 'trick', 'us', 'let', 'go', 'throttl', 'usin', 'sleep']",,,,,,,,,
SAURON,"['master', 'sauron', 'great', 'bid', 'thee', 'welcom']",,,,,,,,,
FRODO,['sam'],,,,,,,,,
ARWEN,"['gift', 'foresight', 'see']",,,,,,,,,
GIMLI,"['aww', 'king', 'gift']",,,,,,,,,
GOLLUM,['precious'],,,,,,,,,
PIPPIN,['frodo'],,,,,,,,,
GIMLI,"['come', 'take']",,,,,,,,,
MORWEN,"['eothain', 'freda']",,,,,,,,,
FRODO,"['manag', 'ring', 'sam', 'weight', 'carri', 'weight']",,,,,,,,,
PIPPIN,['gandalf'],,,,,,,,,
ARAGORN,['go'],,,,,,,,,
MERRY,"['want', 'fight']",,,,,,,,,
THEODEN,['hold'],,,,,,,,,
FRODO,['l'],,,,,,,,,
GIMLI,"['find', 'cheer', 'graveyard']",,,,,,,,,
TREEBEARD,"['safe', 'tree', 'grown', 'wildand', 'danger', 'anger', 'fester', 'heart', 'black', 'thought', 'strong', 'hate', 'harm', 'us', 'us', 'ent', 'left', 'manag']",,,,,,,,,
GIMLI,"['one', 'count', 'mine', 'stink', 'creatur']",,,,,,,,,
PIPPIN,['say'],,,,,,,,,
FARAMIR,"['well', 'done', 'generous', 'deed', 'check', 'cold', 'counsel', 'join', 'tower', 'guard']",,,,,,,,,
ARAGORN,"['hold', 'oath', 'fulfil', 'go', 'peac']",,,,,,,,,
FRODO,"['go', 'back']",,,,,,,,,
ARAGORN,"['nan', 'barad', 'nan', 'barad', 'haldir', 'nan', 'barad']",,,,,,,,,
FARAMIR,"['would', 'use', 'ring', 'mina', 'tirith', 'fall', 'ruin', 'alon', 'could', 'save']",,,,,,,,,
SARUMAN,"['cuiva', 'nwalca', 'carnirass', 'nai', 'yarvaxea', 'rasselya', 'taltuva', 'notto', 'carinnar']",,,,,,,,,
GOLLUM,"['hurri', 'hobbit', 'black', 'gate', 'close']",,,,,,,,,
DENETHOR,"['know', 'noth', 'matter']",,,,,,,,,
LEGOLAS,"['le', 'abdollen', 'look', 'terribl']",,,,,,,,,
GIMLI,['happen'],,,,,,,,,
GANDALF,['thank'],,,,,,,,,
FRODO,"['sam', 'help']",,,,,,,,,
GOLLUM,"['dead', 'ssssssssssssssh']",,,,,,,,,
MERRY,"['pippin', 'hold']",,,,,,,,,
GIMLI,"['aragorn', 'let', 'find', 'food']",,,,,,,,,
FRODO,"['hurt', 'smeagol', 'struggl', 'smeagol', 'listen']",,,,,,,,,
SOLDIER,[],,,,,,,,,
BOROMIR,['true'],,,,,,,,,
ARAGORN,"['us', 'left', 'northern', 'kingdomwa', 'destroy', 'long', 'ago']",,,,,,,,,
ARAGORN,"['gentlemen', 'enough']",,,,,,,,,
LEGOLAS,['nineteen'],,,,,,,,,
PIPPIN,"['talk', 'merri', 'tree', 'talk']",,,,,,,,,
MERRY,"['yes', 'pippin', 'point', 'clear', 'react', 'run']",,,,,,,,,
FRODO,"['sam', 'leav', 'alon']",,,,,,,,,
PIPPIN,"['well', 'yes', 'least', 'well', 'enough', 'peopl', 'song', 'great', 'hall', 'evil', 'time']",,,,,,,,,
THEODEN,"['go', 'father', 'whose', 'mighti', 'compani', 'shall', 'feel', 'asham']",,,,,,,,,
MERRY,['count'],,,,,,,,,
LEGOLAS,"['aragorn', 'nad', 'enna']",,,,,,,,,
SHAGRAT,"['touch', 'stick', 'blade', 'gut']",,,,,,,,,
THEODEN,"['go', 'theoden', 'die']",,,,,,,,,
FRODO,"['know', 'sam', 'know', 'trust', 'come', 'smeagol']",,,,,,,,,
BOROMIR,"['one', 'simpli', 'walk', 'mordor', 'black', 'gate', 'guard', 'orc', 'evil', 'sleep', 'great', 'eye', 'ever', 'watch', 'tis', 'barren', 'wasteland', 'riddl', 'fire', 'ash', 'dust', 'air', 'breath', 'poison', 'fume', 'ten', 'thousand', 'men', 'could', 'folli']",,,,,,,,,
GOLLUM,"['master', 'ask']",,,,,,,,,
THEODEN,"['theodr', 'son']",,,,,,,,,
FARAMIR,"['answer', 'riddl', 'wild', 'two', 'halfl', 'host', 'men', 'call', 'ring', 'power', 'within', 'grasp', 'chanc', 'faramir', 'captain', 'gondor', 'show', 'qualiti']",,,,,,,,,
EOWYN,['ride'],,,,,,,,,
FRODO,"['victori', 'near', 'power', 'ring', 'could', 'undon']",,,,,,,,,
ARWEN,"['light', 'evenstardo', 'wax', 'wane', 'mine', 'give', 'like', 'heart', 'go', 'sleep']",,,,,,,,,
SAM,"['well', 'back']",,,,,,,,,
THEODEN,"['power', 'gandalf']",,,,,,,,,
GANDALF,[],,,,,,,,,
PIPPIN,"['last', 'longbottom', 'leaf']",,,,,,,,,
KING OF THE DEAD,"['releas', 'us']",,,,,,,,,
TREEBEARD,"['time', 'saruman', 'would', 'walk', 'wood', 'mind', 'metal', 'wheel', 'longer', 'care', 'grow', 'thing']",,,,,,,,,
FRODO,"['lead', 'way', 'smeagol']",,,,,,,,,
GATEKEEPER,['want'],,,,,,,,,
SAM,['shortcut'],,,,,,,,,
TREEBEARD,"['go', 'sleep', 'away', 'come', 'forest', 'wake']",,,,,,,,,
TREEBEARD,['agre'],,,,,,,,,
GANDALF,"['care', 'even', 'defeat', 'saruman', 'danger']",,,,,,,,,
BOROMIR,"['dream', 'saw', 'eastern', 'sky', 'grow', 'dark', 'west', 'pale', 'light', 'linger', 'voic', 'cri', 'doom', 'near', 'hand', 'isildur', 'bane', 'found', 'isildur', 'bane']",,,,,,,,,
BILBO,"['home', 'sackvill', 'baggins']",,,,,,,,,
